timestamp,number,gas_used,gas_limit,base_fee_per_gas
2023-03-21 00:23:23 UTC,16872427,13249324,30000000,14058271282
2023-03-21 00:23:35 UTC,16872428,17886667,30000000,13853175631
2023-03-21 00:23:47 UTC,16872429,14532183,30000000,14186421505
2023-03-21 00:23:59 UTC,16872430,15798484,30000000,14131116096
2023-03-21 00:24:11 UTC,16872431,23586528,30000000,14225145013
2023-03-21 00:24:23 UTC,16872432,2636848,30000000,15243016729
2023-03-21 00:24:35 UTC,16872433,23829938,30000000,13672585623
2023-03-21 00:24:47 UTC,16872434,14110647,30000000,14678652984
2023-03-21 00:24:59 UTC,16872435,10862557,30000000,14569865451
2023-03-21 00:25:11 UTC,16872436,16281727,30000000,14067515553
2023-03-21 00:25:23 UTC,16872437,16722933,30000000,14217771507
2023-03-21 00:25:35 UTC,16872438,10098114,30000000,14421907071
2023-03-21 00:25:47 UTC,16872439,23746964,30000000,13832785868
2023-03-21 00:25:59 UTC,16872440,10550698,30000000,14841076534
2023-03-21 00:26:11 UTC,16872441,18152354,30000000,14290806272
2023-03-21 00:26:23 UTC,16872442,18493830,30000000,14666220274
2023-03-21 00:26:35 UTC,16872443,19068987,30000000,15093230943
2023-03-21 00:26:47 UTC,16872444,24589388,30000000,15605015613
2023-03-21 00:26:59 UTC,16872445,19791530,30000000,16852036858
2023-03-21 00:27:11 UTC,16872446,10083367,30000000,17524928859
2023-03-21 00:27:23 UTC,16872447,15307095,30000000,16806898497
2023-03-21 00:27:35 UTC,16872448,19056228,30000000,16849909451
2023-03-21 00:27:47 UTC,16872449,20266547,30000000,17419468405
2023-03-21 00:27:59 UTC,16872450,20911423,30000000,18183972147
2023-03-21 00:28:11 UTC,16872451,17274751,30000000,19079748406
2023-03-21 00:28:23 UTC,16872452,22634424,30000000,19441429045
2023-03-21 00:28:35 UTC,16872453,26890071,30000000,20678296649
2023-03-21 00:28:47 UTC,16872454,16447289,30000000,22727183443
2023-03-21 00:28:59 UTC,16872455,17714712,30000000,23001290131
2023-03-21 00:29:11 UTC,16872456,23939059,30000000,23521639117
2023-03-21 00:29:23 UTC,16872457,24518341,30000000,25273816782
2023-03-21 00:29:35 UTC,16872458,15707055,30000000,27278523502
2023-03-21 00:29:47 UTC,16872459,6688436,30000000,27439251972
2023-03-21 00:29:59 UTC,16872460,6041218,30000000,25538726149
2023-03-21 00:30:11 UTC,16872461,10920232,30000000,23632093815
2023-03-21 00:30:23 UTC,16872462,28961861,30000000,22828648315
2023-03-21 00:30:35 UTC,16872463,18868247,30000000,25484735103
2023-03-21 00:30:47 UTC,16872464,8744999,30000000,26306245520
2023-03-21 00:30:59 UTC,16872465,10114068,30000000,24935032254
2023-03-21 00:31:11 UTC,16872466,14335329,30000000,23919774988
2023-03-21 00:31:23 UTC,16872467,10751692,30000000,23787285149
2023-03-21 00:31:35 UTC,16872468,20671785,30000000,22945154201
2023-03-21 00:31:47 UTC,16872469,9027532,30000000,24029654046
2023-03-21 00:31:59 UTC,16872470,12119643,30000000,22833684548
2023-03-21 00:32:11 UTC,16872471,17439779,30000000,22285608189
2023-03-21 00:32:23 UTC,16872472,16469497,30000000,22738707846
2023-03-21 00:32:35 UTC,16872473,13146927,30000000,23017161704
2023-03-21 00:32:47 UTC,16872474,17035131,30000000,22661724364
2023-03-21 00:32:59 UTC,16872475,13662367,30000000,23046054178
2023-03-21 00:33:11 UTC,16872476,11720089,30000000,22789161157
2023-03-21 00:33:23 UTC,16872477,18699021,30000000,22166274321
2023-03-21 00:33:35 UTC,16872478,10780743,30000000,22849553606
2023-03-21 00:33:47 UTC,16872479,13489971,30000000,22046152448
2023-03-21 00:33:59 UTC,16872480,10100254,30000000,21768733036
2023-03-21 00:34:11 UTC,16872481,12236734,30000000,20879889181
2023-03-21 00:34:23 UTC,16872482,8561711,30000000,20399083449
2023-03-21 00:34:35 UTC,16872483,13497475,30000000,19304623495
2023-03-21 00:34:47 UTC,16872484,15990749,30000000,19062909500
2023-03-21 00:34:59 UTC,16872485,12680113,30000000,19220297487
2023-03-21 00:35:11 UTC,16872486,12590638,30000000,18848723169
2023-03-21 00:35:23 UTC,16872487,8046707,30000000,18470278192
2023-03-21 00:35:35 UTC,16872488,15773847,30000000,17400034392
2023-03-21 00:35:47 UTC,16872489,19734165,30000000,17512242428
2023-03-21 00:35:59 UTC,16872490,14899006,30000000,18203124471
2023-03-21 00:36:11 UTC,16872491,11490656,30000000,18187804419
2023-03-21 00:36:23 UTC,16872492,16761354,30000000,17655910567
2023-03-21 00:36:35 UTC,16872493,11767047,30000000,17915063139
2023-03-21 00:36:47 UTC,16872494,1904254,30000000,17432408497
2023-03-21 00:36:59 UTC,16872495,29394874,30000000,15529988549
2023-03-21 00:37:11 UTC,16872496,14822302,30000000,17392923785
2023-03-21 00:37:23 UTC,16872497,14073883,30000000,17367168054
2023-03-21 00:37:35 UTC,16872498,15363343,30000000,17233134475
2023-03-21 00:37:47 UTC,16872499,16990103,30000000,17285313964
2023-03-21 00:37:59 UTC,16872500,15346182,30000000,17571976923
2023-03-21 00:38:11 UTC,16872501,18186739,30000000,17622669440
2023-03-21 00:38:23 UTC,16872502,17798981,30000000,18090659839
2023-03-21 00:38:35 UTC,16872503,12725016,30000000,18512621615
2023-03-21 00:38:47 UTC,16872504,20384481,30000000,18161655632
2023-03-21 00:38:59 UTC,16872505,23963986,30000000,18976581379
2023-03-21 00:39:11 UTC,16872506,12752753,30000000,20394129794
2023-03-21 00:39:23 UTC,16872507,23907371,30000000,20012207736
2023-03-21 00:39:35 UTC,16872508,13581248,30000000,21497675726
2023-03-21 00:39:47 UTC,16872509,11398586,30000000,21243510140
2023-03-21 00:39:59 UTC,16872510,13365067,30000000,20605954517
2023-03-21 00:40:11 UTC,16872511,11733939,30000000,20325209892
2023-03-21 00:40:23 UTC,16872512,16795967,30000000,19772015098
2023-03-21 00:40:35 UTC,16872513,10727283,30000000,20067930819
2023-03-21 00:40:47 UTC,16872514,10063109,30000000,19353392576
2023-03-21 00:40:59 UTC,16872515,12251127,30000000,18557179330
2023-03-21 00:41:11 UTC,16872516,15818830,30000000,18132084920
2023-03-21 00:41:23 UTC,16872517,13006492,30000000,18255810712
2023-03-21 00:41:35 UTC,16872518,10649120,30000000,17952534840
2023-03-21 00:41:47 UTC,16872519,16685193,30000000,17301623801
2023-03-21 00:41:59 UTC,16872520,12276165,30000000,17544595261
2023-03-21 00:42:11 UTC,16872521,23294505,30000000,17146357073
2023-03-21 00:42:23 UTC,16872522,15949900,30000000,18331528276
2023-03-21 00:42:35 UTC,16872523,12814332,30000000,18476637598
2023-03-21 00:42:47 UTC,16872524,10068844,30000000,18140105969
2023-03-21 00:42:59 UTC,16872525,13502087,30000000,17394675200
2023-03-21 00:43:11 UTC,16872526,14204977,30000000,17177544283
2023-03-21 00:43:23 UTC,16872527,8398008,30000000,17063739760
2023-03-21 00:43:35 UTC,16872528,11268564,30000000,16124950816
2023-03-21 00:43:47 UTC,16872529,10361446,30000000,15623540633
2023-03-21 00:43:59 UTC,16872530,12547120,30000000,15019618659
2023-03-21 00:44:11 UTC,16872531,16109939,30000000,14712607641
2023-03-21 00:44:23 UTC,16872532,17257967,30000000,14848691782
2023-03-21 00:44:35 UTC,16872533,14931369,30000000,15128090582
2023-03-21 00:44:47 UTC,16872534,10579345,30000000,15119438449
2023-03-21 00:44:59 UTC,16872535,13717881,30000000,14562456606
2023-03-21 00:45:11 UTC,16872536,10021242,30000000,14406866587
2023-03-21 00:45:23 UTC,16872537,20176877,30000000,13809130735
2023-03-21 00:45:35 UTC,16872538,13850754,30000000,14404865495
2023-03-21 00:45:47 UTC,16872539,12086336,30000000,14266909378
2023-03-21 00:45:59 UTC,16872540,17207503,30000000,13920501210
2023-03-21 00:46:11 UTC,16872541,10062489,30000000,14176580778
2023-03-21 00:46:23 UTC,16872542,19964099,30000000,13593272249
2023-03-21 00:46:35 UTC,16872543,12238242,30000000,14155591825
2023-03-21 00:46:47 UTC,16872544,1814915,30000000,13829805834
2023-03-21 00:46:59 UTC,16872545,29983165,30000000,12310246122
2023-03-21 00:47:11 UTC,16872546,7365996,30000000,13847299862
2023-03-21 00:47:23 UTC,16872547,24867587,30000000,12966380341
2023-03-21 00:47:35 UTC,16872548,20377141,30000000,14032604391
2023-03-21 00:47:47 UTC,16872549,13194495,30000000,14661398494
2023-03-21 00:47:59 UTC,16872550,14205777,30000000,14440804925
2023-03-21 00:48:11 UTC,16872551,13971202,30000000,14345228097
2023-03-21 00:48:23 UTC,16872552,18237636,30000000,14222241914
2023-03-21 00:48:35 UTC,16872553,10886481,30000000,14605962267
2023-03-21 00:48:47 UTC,16872554,20024886,30000000,14105279740
2023-03-21 00:48:59 UTC,16872555,9406032,30000000,14695924929
2023-03-21 00:49:11 UTC,16872556,13673007,30000000,14010853815
2023-03-21 00:49:23 UTC,16872557,9909940,30000000,13855917941
2023-03-21 00:49:35 UTC,16872558,10162068,30000000,13268189161
2023-03-21 00:49:47 UTC,16872559,12135547,30000000,12733267520
2023-03-21 00:49:59 UTC,16872560,21491917,30000000,12429318801
2023-03-21 00:50:11 UTC,16872561,10845331,30000000,13101736351
2023-03-21 00:50:23 UTC,16872562,10090367,30000000,12648124869
2023-03-21 00:50:35 UTC,16872563,15991484,30000000,12130644442
2023-03-21 00:50:47 UTC,16872564,17026368,30000000,12230872274
2023-03-21 00:50:59 UTC,16872565,25258811,30000000,12437407675
2023-03-21 00:51:11 UTC,16872566,19029505,30000000,13500682797
2023-03-21 00:51:23 UTC,16872567,15055888,30000000,13954025037
2023-03-21 00:51:47 UTC,16872568,29968365,30000000,13960523891
2023-03-21 00:51:59 UTC,16872569,29986668,30000000,15701909034
2023-03-21 00:52:11 UTC,16872570,29973980,30000000,17662903181
2023-03-21 00:52:23 UTC,16872571,9200131,30000000,19866936172
2023-03-21 00:52:35 UTC,16872572,10591457,30000000,18906722612
2023-03-21 00:52:47 UTC,16872573,18193806,30000000,18212130116
2023-03-21 00:52:59 UTC,16872574,10875773,30000000,18696846869
2023-03-21 00:53:11 UTC,16872575,13483725,30000000,18054263197
2023-03-21 00:53:23 UTC,16872576,15054528,30000000,17826136298
2023-03-21 00:53:35 UTC,16872577,8627029,30000000,17834236494
2023-03-21 00:53:47 UTC,16872578,12322996,30000000,16887094228
2023-03-21 00:53:59 UTC,16872579,14853797,30000000,16510370739
2023-03-21 00:54:11 UTC,16872580,11618857,30000000,16490255192
2023-03-21 00:54:23 UTC,16872581,11348772,30000000,16025622602
2023-03-21 00:54:35 UTC,16872582,12369728,30000000,15538012586
2023-03-21 00:54:47 UTC,16872583,19525171,30000000,15197435924
2023-03-21 00:54:59 UTC,16872584,10115752,30000000,15770527559
2023-03-21 00:55:11 UTC,16872585,10457899,30000000,15128634495
2023-03-21 00:55:23 UTC,16872586,12592352,30000000,14556002947
2023-03-21 00:55:35 UTC,16872587,7480375,30000000,14263955186
2023-03-21 00:55:47 UTC,16872588,29978472,30000000,13370125236
2023-03-21 00:55:59 UTC,16872589,29987806,30000000,15038992290
2023-03-21 00:56:11 UTC,16872590,29990581,30000000,16917338113
2023-03-21 00:56:23 UTC,16872591,20251415,30000000,19030677507
2023-03-21 00:56:35 UTC,16872592,24960618,30000000,19863494051
2023-03-21 00:56:47 UTC,16872593,27959539,30000000,21512266354
2023-03-21 00:56:59 UTC,16872594,12649533,30000000,23835508477
2023-03-21 00:57:11 UTC,16872595,7510678,30000000,23368637010
2023-03-21 00:57:23 UTC,16872596,12015233,30000000,21910176617
2023-03-21 00:57:35 UTC,16872597,14099874,30000000,21365203516
2023-03-21 00:57:47 UTC,16872598,5431423,30000000,21204942057
2023-03-21 00:57:59 UTC,16872599,10404095,30000000,19514099384
2023-03-21 00:58:11 UTC,16872600,7863402,30000000,18766724827
2023-03-21 00:58:23 UTC,16872601,20509476,30000000,17650636737
